,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region
140,Timor-Leste,0.60299999,TLS,7,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195,SouthEastAsia
55,Eritrea,0.41800001,ERI,4,1007.28,,7.5999999046325675,,,28.41555976867676,SubSaharian
119,Nauru,,NRU,9,3130.47,0.0120000001043081,,,,71.94534301757812,Pacific
127,Norway,0.94800001,NOR,5,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586,WesternDem
132,Panama,0.78500003,PAN,2,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953,LatAm
151,Senegal,0.491,SEN,4,1527.99,,7.4000000953674325,3.760167360305786,7.396200180053711,,SubSaharian
152,Serbia,0.77499998,SRB,1,11343.92,7.166999816894531,5.300000190734863,3.0581588745117188,4.178609848022462,92.20523071289064,EastEurope
83,Cote d'Ivoire,0.46599999,CIV,4,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,,SubSaharian
147,St Vincent and the Grenadines,0.72000003,VCT,10,7454.8799,0.1099999994039536,,,,,Caribbean
20,Brazil,0.75400001,BRA,2,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,LatAm
103,Malawi,0.47299999,MWI,4,938.3499800000001,17.60400009155273,8.100000381469728,3.185531854629517,4.842539787292481,32.94229125976563,SubSaharian
166,Swaziland,0.54100001,SWZ,4,4110.0498,1.105999946594238,6.9000000953674325,3.79865288734436,7.049990177154541,36.21157836914063,SubSaharian
56,Estonia,0.86299998,EST,1,19768.039,1.315999984741211,3.5,4.364778518676759,5.481639862060547,94.39128112792969,EastEurope
84,Jamaica,0.72899997,JAM,10,4668.77,2.799000024795532,7.800000190734862,3.711759328842163,6.024670124053955,73.51493835449219,Caribbean
